ts	username	platform	ms_played	conn_country	ip_addr_decrypted	user_agent_decrypted	master_metadata_track_name	master_metadata_album_artist_name	master_metadata_album_album_name	spotify_track_uri	episode_name	episode_show_name	spotify_episode_uri	reason_start	reason_end	shuffle	skipped	offline	offline_timestamp	incognito_mode
2022-01-29T19:46:02Z	aspeera786	iOS 15.3 (iPhone14,5)	222093	US	174.211.192.66	unknown	Trap Queen	Fetty Wap	Fetty Wap	spotify:track:2d8JP84HNLKhmd6IYOoupQ				clickrow	trackdone	false		false	1643483594343	false
2022-01-29T19:46:02Z	aspeera786	iOS 15.3 (iPhone14,5)	61818	US	174.211.192.66	unknown	HUMBLE.	Kendrick Lamar	DAMN.	spotify:track:7KXjTSCq5nL1LoYtL7XAwS				trackdone	endplay	false		false	1643485459772	false
2022-01-29T19:46:02Z	aspeera786	iOS 15.3 (iPhone14,5)	853	US	174.211.192.66	unknown	rockstar (feat. 21 Savage)	Post Malone	beerbongs & bentleys	spotify:track:0e7ipj03S05BNilyu5bRzt				backbtn	backbtn	false		false	1643484544919	false
2022-01-29T19:49:19Z	aspeera786	iOS 15.3 (iPhone14,5)	236879	US	174.211.192.66	unknown	Seasons	Ilyas Mao	Maktoob	spotify:track:0qEBhEIBLMmcdUSLK8a5oJ				playbtn	trackdone	true		false	1643485523011	false
2022-01-29T19:51:19Z	aspeera786	iOS 15.3 (iPhone14,5)	118694	US	174.211.192.66	unknown	Wonders	Ilyas Mao	Maktoob	spotify:track:6YrthwpmO2D80yOzDcp9FT				trackdone	fwdbtn	true		false	1643485758960	false
2022-01-29T19:54:28Z	aspeera786	iOS 15.3 (iPhone14,5)	189732	US	174.211.192.66	unknown	Life of This World	Ilyas Mao	Maktoob	spotify:track:330FYMYIXY1KwfvobNTBxo				fwdbtn	trackdone	true		false	1643485879085	false
2022-01-29T20:01:00Z	aspeera786	iOS 15.3 (iPhone14,5)	140316	US	174.211.192.66	unknown	Alhumdulillah	Siedd	Journey	spotify:track:3Z0dbreZICsjb4oBzCnWXc				trackdone	trackdone	true		false	1643486067856	false
2022-01-29T20:04:52Z	aspeera786	iOS 15.3 (iPhone14,5)	218459	US	174.211.192.66	unknown	Believer	Nadeem Mohammed	Believer	spotify:track:7mewT53P3BIRj8iJw4Fk7a				trackdone	trackdone	true		false	1643486459723	false
2022-01-29T20:13:17Z	aspeera786	iOS 15.3 (iPhone14,5)	257620	US	174.211.192.66	unknown	Dunya (feat. Ilyas Mao)	Omar Esa	Dunya (feat. Ilyas Mao)	spotify:track:7FRlAS1XUmXEK1h391OuGD				trackdone	trackdone	true		false	1643486691824	false
2022-01-29T20:16:13Z	aspeera786	iOS 15.3 (iPhone14,5)	132748	US	174.211.192.66	unknown	Elevate	Siedd	Elevate	spotify:track:3HEe35p5i97KcFoBra4pIn				trackdone	trackdone	true		false	1643487196398	false
2022-01-29T20:18:33Z	aspeera786	iOS 15.3 (iPhone14,5)	139548	US	174.211.192.66	unknown	Changes	Siedd	Changes	spotify:track:15CyLjDvkvCX3bluPIbUmc				trackdone	trackdone	true		false	1643487372250	false
2022-01-29T20:21:26Z	aspeera786	iOS 15.3 (iPhone14,5)	173294	US	174.211.192.66	unknown	Taking Over	Khāled Siddīq	Taking Over	spotify:track:2ddUJJWmpVk1GYTXuV4Znn				trackdone	trackdone	true		false	1643487512348	false
2022-01-29T20:24:29Z	aspeera786	iOS 15.3 (iPhone14,5)	182255	US	174.211.192.66	unknown	Redemption	Siedd	Redemption	spotify:track:47D7ds41G64iFceCWXG33Q				trackdone	trackdone	true		false	1643487686120	false
2022-01-29T20:28:18Z	aspeera786	iOS 15.3 (iPhone14,5)	228066	US	174.211.192.66	unknown	Signs	Siedd	Signs	spotify:track:1M9ZYFopIkG0d0cV7dzfyQ				trackdone	trackdone	true		false	1643487868812	false
2022-01-29T20:31:45Z	aspeera786	iOS 15.3 (iPhone14,5)	206785	US	174.211.192.66	unknown	My People	Essam	My People	spotify:track:1KnzEExnK98GmLEkBK67Ks				trackdone	trackdone	true		false	1643488097343	false
2022-01-29T20:35:00Z	aspeera786	iOS 15.3 (iPhone14,5)	194706	US	174.211.192.66	unknown	Rahman Ya Rahman	Ilyas Mao	Rahman Ya Rahman	spotify:track:23o0DPzkXxevHmThDM0Skn				trackdone	trackdone	true		false	1643488304625	false
2022-01-29T20:40:26Z	aspeera786	iOS 15.3 (iPhone14,5)	145152	US	174.211.192.66	unknown	Rabbana	Ilyas Mao	Rabbana	spotify:track:17O2Rhs4RsltvtsuwbGxux				trackdone	logout	true		false	1643488499818	false
2022-01-29T20:45:03Z	aspeera786	iOS 15.3 (iPhone14,5)	0	US	174.211.192.66	unknown	Rabbana	Ilyas Mao	Rabbana	spotify:track:17O2Rhs4RsltvtsuwbGxux				appload	trackerror	true		false	1643488821700	false
2022-01-30T15:59:44Z	aspeera786	iOS 15.3 (iPhone14,5)	12144	US	174.211.227.78	unknown	After Hardship Comes Ease	Saif Adam	Heart	spotify:track:4bKRucY6ZWxMk3gxBeGpo8				playbtn	logout	false		false	1643489104148	false
2022-01-30T15:59:50Z	aspeera786	iOS 15.3 (iPhone14,5)	0	US	174.211.227.78	unknown	After Hardship Comes Ease	Saif Adam	Heart	spotify:track:4bKRucY6ZWxMk3gxBeGpo8				appload	trackerror	false		false	1643558384065	false
2022-01-30T18:54:27Z	aspeera786	iOS 15.3 (iPhone14,5)	0	US	174.211.227.78	unknown	Dunya (feat. Ilyas Mao)	Omar Esa	Dunya (feat. Ilyas Mao)	spotify:track:7FRlAS1XUmXEK1h391OuGD				appload	trackerror	false		false	1643567631064	false
2022-01-30T18:58:17Z	aspeera786	iOS 15.3 (iPhone14,5)	189732	US	174.211.227.78	unknown	Life of This World	Ilyas Mao	Maktoob	spotify:track:330FYMYIXY1KwfvobNTBxo				trackerror	trackdone	false		false	1643568866211	false
2022-01-30T19:00:50Z	aspeera786	iOS 15.3 (iPhone14,5)	153403	US	174.211.227.78	unknown	See Me Shining	Khāled Siddīq	See Me Shining	spotify:track:11FyAfOmdLO2OuqfpMP5EX				trackdone	trackdone	false		false	1643569096421	false
2022-01-30T20:22:16Z	aspeera786	iOS 15.3 (iPhone14,5)	119102	US	174.211.227.78	unknown	Maula Ya Salli Wa Sallim	Emil Mohammed	Maula Ya Salli Wa Sallim	spotify:track:5sQcs00xa3kYShenbVh3If				trackdone	unexpected-exit-while-paused	false		false	1643569250324	false
2022-01-30T20:22:20Z	aspeera786	iOS 15.3 (iPhone14,5)	0	US	174.211.227.78	unknown	Maula Ya Salli Wa Sallim	Emil Mohammed	Maula Ya Salli Wa Sallim	spotify:track:5sQcs00xa3kYShenbVh3If				appload	trackerror	false		false	1643574134835	false
2022-01-30T20:44:03Z	aspeera786	iOS 15.3 (iPhone14,5)	218160	US	174.211.227.78	unknown	Oh Allah	Siedd	Journey	spotify:track:4vdn9CVPSj4iOHpzwNjAcc				trackerror	trackdone	false		false	1643574140253	false
2022-01-30T20:46:55Z	aspeera786	iOS 15.3 (iPhone14,5)	171588	US	174.211.227.78	unknown	Going Home	Nadeem Mohammed	Going Home	spotify:track:2PdPMmaMcGaZVD2rHfDrGd				trackdone	trackdone	false		false	1643575442683	false
2022-01-30T20:49:49Z	aspeera786	iOS 15.3 (iPhone14,5)	174107	US	174.211.227.78	unknown	United Ummah	Omar Esa	United Ummah	spotify:track:31AKJtzgfQNuws6BGZfEaG				trackdone	trackdone	false		false	1643575614782	false
2022-01-31T22:26:31Z	aspeera786	iOS 15.3 (iPhone14,5)	183889	US	174.211.192.3	unknown	Wonders	Ilyas Mao	Maktoob	spotify:track:6YrthwpmO2D80yOzDcp9FT				trackdone	unexpected-exit-while-paused	false		false	1643575789379	false
2022-01-31T22:26:34Z	aspeera786	iOS 15.3 (iPhone14,5)	5610	US	174.211.192.3	unknown	Wonders	Ilyas Mao	Maktoob	spotify:track:6YrthwpmO2D80yOzDcp9FT				playbtn	fwdbtn	true		false	1643667986983	false
2022-01-31T22:29:15Z	aspeera786	iOS 15.3 (iPhone14,5)	162666	US	174.211.192.3	unknown	Voices	Khāled Siddīq	Voices	spotify:track:2VkGMRtooWMuyBvylOnw1t				fwdbtn	trackdone	true		false	1643667993174	false
2022-01-31T22:32:45Z	aspeera786	iOS 15.3 (iPhone14,5)	199392	US	174.211.192.3	unknown	We Shall Rise	Muad	We Shall Rise	spotify:track:2UiImxEn0I9NrHT0fwvN92				trackdone	trackdone	true		false	1643668154934	false
2022-01-31T22:33:33Z	aspeera786	iOS 15.3 (iPhone14,5)	45858	US	174.211.192.3	unknown	Life of This World	Ilyas Mao	Maktoob	spotify:track:330FYMYIXY1KwfvobNTBxo				trackdone	fwdbtn	true		false	1643668365226	false
2022-01-31T22:36:22Z	aspeera786	iOS 15.3 (iPhone14,5)	170024	US	174.211.192.3	unknown	I'll Just Be Me	Siedd	I'll Just Be Me	spotify:track:1Cbu7WolcQ6KQCzuEulRrQ				fwdbtn	trackdone	true		false	1643668412476	false
2022-01-31T22:48:18Z	aspeera786	iOS 15.3 (iPhone14,5)	236879	US	174.211.192.3	unknown	Seasons	Ilyas Mao	Maktoob	spotify:track:0qEBhEIBLMmcdUSLK8a5oJ				trackdone	trackdone	true		false	1643668581626	false
2022-01-31T22:59:39Z	aspeera786	iOS 15.3 (iPhone14,5)	222137	US	174.211.192.3	unknown	Rabbana	Ilyas Mao	Rabbana	spotify:track:17O2Rhs4RsltvtsuwbGxux				trackdone	trackdone	true		false	1643669297523	false
2022-01-31T23:03:28Z	aspeera786	iOS 15.3 (iPhone14,5)	228066	US	174.211.192.3	unknown	Signs	Siedd	Signs	spotify:track:1M9ZYFopIkG0d0cV7dzfyQ				trackdone	trackdone	true		false	1643669979200	false
2022-01-31T23:05:34Z	aspeera786	iOS 15.3 (iPhone14,5)	72923	US	174.211.192.3	unknown	Believer	Nadeem Mohammed	Believer	spotify:track:7mewT53P3BIRj8iJw4Fk7a				trackdone	fwdbtn	true		false	1643670207701	false
2022-01-31T23:23:10Z	aspeera786	iOS 15.3 (iPhone14,5)	182255	US	174.211.192.3	unknown	Redemption	Siedd	Redemption	spotify:track:47D7ds41G64iFceCWXG33Q				fwdbtn	trackdone	true		false	1643670333740	false
2022-01-31T23:25:46Z	aspeera786	iOS 15.3 (iPhone14,5)	140316	US	174.211.192.3	unknown	Alhumdulillah	Siedd	Journey	spotify:track:3Z0dbreZICsjb4oBzCnWXc				trackdone	trackdone	true		false	1643671390271	false
